ID,Template Name,,ID,Checklist Task,Task name,Comment
,,,,,,
"""GCH-NCT-105869 : NUTRITION SCREENING TOOL""",NUTRITION SCREENING TOOL,,"""bf730406bb""",GCH-NCTT-105868,WEIGHT,
,,,"""7b290defd1""",GCH-NCTT-105871,DIETARY INTAKE,
,,,"""e5c6a02bbf""",GCH-NCTT-105873,MEDICAL DIAGNOSIS,
,,,"""5c75cce9c8""",GCH-NCTT-105874,OTHERS,
"""GCH-NCT-16623 : PERIPHERAL VENOURS CARTHETER MAINTENANCE CHECKLIST/BUNDLE""",PERIPHERAL VENOURS CARTHETER MAINTENANCE CHECKLIST/BUNDLE,,"""c6643ffdd5""",GCH-NCTT-16622,1.	Hand hygiene performed before catheter care,
,,,"""0575952ef1""",GCH-NCTT-16624,"1.	 Bandage appearance (Wet, dry, soiled clean)",
,,,"""0d853d11c7""",GCH-NCTT-12187,Any patient interference?,
,,,"""abb7bfb1cb""",GCH-NCTT-12188,Hub/port cleaned with,
,,,"""850d71c276""",GCH-NCTT-12189,Catheter flushed with pre filled normal saline,
,,,"""a5d232ac16""",GCH-NCTT-12190,Does the patient still need the catheter?,
,,,"""5a09b90b51""",GCH-NCTT-16632,VIP SCORING,
,,,"""ebaba6e284""",GCH-NCTT-16634,Action taken after VIP scoring,
"""GCH-NCT-10900 : Surgical Site Infections (SSI) bundle""",SURGICAL SITE INFECTIONS (SSI) BUNDLE,,"""f6e8178553""",GCH-NCTT-10891,"Hair removal was avoided (if hair removal, clippers should be used)",
,,,"""7338e6365c""",GCH-NCTT-10892,Prophylactic antibiotic was administered (Administer within 60 minutes or as close to incision as possible),
,,,"""ae252c0c27""",GCH-NCTT-10893,Temperature maintained at normal throughout surgery (unless it was intentionally lowered eg in cardiac surgery),
,,,"""270df4179a""",GCH-NCTT-10894,Normal blood sugars maintained through surgey for diabetic patients,
,,,"""d769db8f44""",GCH-NCTT-10871,Checked by (indicate name of nurse or doctor),
"""GCH-NCT-10899 : Ventillator Associated Pneumonia care bundle (VAP)""",VENTILATOR ASSOCIATED PNEUMONIA CARE BUNDLE (VAP),,"""2130126e77""",GCH-NCTT-10882,Hand hygiene performed before ventilator care,
,,,"""b9975bad55""",GCH-NCTT-10883,Date of ET tube insertion,
,,,"""fe28ec1e8c""",GCH-NCTT-10884,Head of bed elevated to 30 to 45 degrees,
,,,"""0a128fa0cf""",GCH-NCTT-10885,Daily sedative interruption and daily assessment for readiness to extubate,
,,,"""58b7f21752""",GCH-NCTT-10887,Daily oral care done (6hourly or PRN),
,,,"""0a047abbf4""",GCH-NCTT-10888,Peptic ulcer disease (PUD) prophylaxis,
,,,"""eb53267097""",GCH-NCTT-10889,Deep Venous Thrombosis (DVT) prophylaxis,
,,,"""396e92a650""",GCH-NCTT-10871,Checked by (indicate name of nurse or doctor),
"""GCH-NCT-10898 : Urinary catheter care bundle (CAUTI)""",URINARY CATHETER CARE BUNDLE (CAUTI),,"""a4bbba18ac""",GCH-NCTT-10873,Hand hygiene performed before and after handling the urinary catheter,
,,,"""ae93e20c85""",GCH-NCTT-10874,Patient assessed for continual need for the urinary catheter,
,,,"""c5f20bfd8e""",GCH-NCTT-10875,Urinary catheter is continuously connected,
,,,"""1998d6a1fb""",GCH-NCTT-10877,Daily meatal hygiene has been performed on the patient,
,,,"""7b30e1ff76""",GCH-NCTT-10878,Routine emptying of the urinary bladder,
,,,"""1613ac655b""",GCH-NCTT-10880,Urinary bag maintained below the level of the bladder and not touching the floor,
,,,"""e3b90ba122""",GCH-NCTT-10871,Checked by (indicate name of nurse or doctor),
"""GCH-NCT-11846 : Central Line (CLABSI) Care Bundle""",CENTRAL LINE (CLABSI) CARE  BUNDLE,,"""748cd5adf1""",GCH-NCTT-12174,Daily Review of Central line necessity( date of removal discussed during rounds),
,,,"""09fb8961e2""",GCH-NCTT-12177,Hand hygiene performed before and after handling,
,,,"""14129c3d50""",GCH-NCTT-12178,Appropriate PPE used during the procedure,
,,,"""e435fa39eb""",GCH-NCTT-12179,Hub scrubbed with chlorhexidine swab before access ,
,,,"""178f6fe76b""",GCH-NCTT-12181,Site care: site and dressing is clean ,
,,,"""cacc8ce737""",GCH-NCTT-12182,Pulsated flushing technique (push – pause technique) used during flushing ,
,,,"""7f6f955dec""",GCH-NCTT-12183,A different lumen is used for parenteral nutrition,
,,,"""84d5fc8da9""",GCH-NCTT-10871,Checked by (indicate name of nurse or doctor),
"""GCH-NCT-10872 : Central line insertion""",CENTRAL LINE INSERTION CHECKLIST,,"""56bec58c27""",GCH-NCTT-10865,Hand hygiene performed before the procedure starts,
,,,"""925959c2d9""",GCH-NCTT-10866,"Maximal sterile barrier precautions (PPE use: surgical mask, sterile gloves, cap, sterile gown, and large sterile drape)",
,,,"""f767d613aa""",GCH-NCTT-10867,Skin cleaning with alcohol-based chlorhexidine done,
,,,"""9556a14f7c""",GCH-NCTT-10868,Choice of site: correct site considered,
,,,"""4fa6b20a41""",GCH-NCTT-10869,Standardized insertion packs/ equipment used,
,,,"""353f292734""",GCH-NCTT-10871,Checked by (indicate name of nurse or doctor),
"""GCH-NCT-10283 : Check 1- To be done before taking patient to procedure area""",Check 1- To be done before taking patient to procedure area,,"""d4e057bd11""",GCH-NCTT-10865,Hand hygiene performed before the procedure starts,
,,,"""b7bcf4e572""",GCH-NCTT-10866,"Maximal sterile barrier precautions (PPE use: surgical mask, sterile gloves, cap, sterile gown, and large sterile drape)",
,,,"""13570309ce""",GCH-NCTT-10867,Skin cleaning with alcohol-based chlorhexidine done,
,,,"""1fde21c57d""",GCH-NCTT-10868,Choice of site: correct site considered,
,,,"""9e956a4912""",GCH-NCTT-10869,Standardized insertion packs/ equipment used,
,,,"""c079b9a1ab""",GCH-NCTT-10871,Checked by (indicate name of nurse or doctor),
"""GCH-NCT-10282 : Check 2 (Time Out)- To be performed just before the start of the procedure""",Check 2 (Time Out)- To be performed just before the start of the procedure,,"""bad46f2672""",GCH-NCTT-10285,"Verify the correct patient, procedure and site",
"""GCH-NCT-10284 : Check 3 (Sign Out)- To be performed before patient leaves the procedure area""",Check 3 (Sign Out)- To be performed before patient leaves the procedure area,,,,,
